"LWPC","TrialType","RTestimate_energy1","RTestimate_energy2","firstRTestimate_energy1","secondRTestimate_energy1","firstRTestimate_energy2","secondRTestimate_energy2"
"PC50","InCon",0.778,0.778,0.739,0.702,0.739,0.702
"MI","InCon",1.056,1.056,1.01,0.988,1.01,0.988
"PC50","InCon",1.282,1.282,1.248,1.234,1.248,1.234
"MC","Con",0.72,0.72,0.667,0.625,0.667,0.625
"PC50","Con",0.941,0.941,0.805,0.752,0.805,0.752
"PC50","Con",0.713,0.713,0.674,0.658,0.674,0.658
"MI","InCon",0.741,0.741,0.704,0.685,0.704,0.685
"MC","Con",0.901,0.901,0.845,0.819,0.845,0.819
"MI","Con",0.497,0.497,0.462,0.449,0.462,0.449
"MI","Con",0.764,0.764,0.728,0.714,0.728,0.714
"MC","Con",0.529,0.529,0.489,0.462,0.489,0.462
"MC","Con",0.748,0.748,0.705,0.635,0.705,0.635
"MC","Con",0.724,0.724,0.681,0.656,0.681,0.656
"MC","Con",0.595,0.595,0.544,0.522,0.544,0.522
"MC","Con",0.887,0.887,0.849,0.811,0.849,0.811
"MI","InCon",0.748,0.748,0.692,0.665,0.692,0.665
"MI","InCon",1.204,1.204,1.159,1.138,1.159,1.138
"MI","InCon",1.184,1.184,1.136,1.113,1.136,1.113
"MI","InCon",0.958,0.958,0.92,0.902,0.92,0.902
"MI","InCon",0.756,0.756,0.716,0.696,0.716,0.696
"MI","InCon",1.039,1.039,0.842,0.782,0.842,0.782
"MI","InCon",0.839,0.839,0.796,0.779,0.796,0.779
"PC50","InCon",0.964,0.964,0.927,0.903,0.927,0.903
"MC","Con",0.788,0.788,0.748,0.71,0.748,0.71
"PC50","InCon",0.906,0.906,0.86,0.748,0.86,0.748
"MC","Con",0.739,0.739,0.698,0.672,0.698,0.672
"MI","InCon",0.833,0.833,0.779,0.756,0.779,0.756
"PC50","InCon",0.709,0.709,0.668,0.646,0.668,0.646
"PC50","Con",0.766,0.766,0.723,0.698,0.723,0.698
"PC50","InCon",0.709,0.709,0.671,0.652,0.671,0.652
"MC","Con",0.848,0.848,0.806,0.772,0.806,0.772
"MC","Con",0.763,0.763,0.706,0.685,0.706,0.685
"MI","InCon",0.768,0.768,0.729,0.7,0.729,0.7
"MI","InCon",0.956,0.956,0.907,0.882,0.907,0.882
"MC","Con",0.816,0.816,0.774,0.744,0.774,0.744
"MI","Con",0.859,0.859,0.822,0.806,0.822,0.806
"MC","Con",0.908,0.908,0.861,0.835,0.861,0.835
"MC","Con",0.786,0.786,0.745,0.717,0.745,0.717
"MC","Con",0.727,0.727,0.665,0.635,0.665,0.635
"MI","InCon",0.703,0.703,0.66,0.635,0.66,0.635
"PC50","Con",1.089,1.089,0.996,0.909,0.996,0.909
"MI","Con",0.929,0.929,0.886,0.86,0.886,0.86
"MI","InCon",1.048,1.048,1.01,0.984,1.01,0.984
"MC","Con",0.928,0.928,0.887,0.863,0.887,0.863
"PC50","Con",0.807,0.807,0.766,0.745,0.766,0.745
"PC50","Con",0.736,0.736,0.699,0.684,0.699,0.684
"MC","Con",1.015,1.015,0.923,0.895,0.923,0.895
"MI","Con",0.929,0.929,0.886,0.855,0.886,0.855
"MI","InCon",0.733,0.733,0.695,0.671,0.695,0.671
"MC","Con",0.778,0.778,0.734,0.701,0.734,0.701
"MC","Con",0.758,0.758,0.713,0.678,0.713,0.678
"MI","InCon",0.804,0.804,0.764,0.744,0.764,0.744
"MI","InCon",0.61,0.61,0.557,0.535,0.557,0.535
"MI","InCon",0.758,0.745,0.704,0.684,0.704,0.684
"MC","Con",0.885,0.885,0.845,0.794,0.845,0.794
"MC","Con",0.7,0.7,0.658,0.635,0.658,0.635
"MC","Con",0.622,0.622,0.573,0.547,0.573,0.547
"MI","InCon",0.987,0.987,0.779,0.75,0.779,0.75
"MI","InCon",0.667,0.667,0.633,0.618,0.633,0.618
"MC","Con",0.828,0.828,0.787,0.758,0.787,0.758
"MI","InCon",1.044,1.044,1.003,0.978,1.003,0.978
"MC","Con",0.695,0.695,0.649,0.61,0.649,0.61
"MI","InCon",0.678,0.678,0.642,0.627,0.642,0.627
"MC","Con",0.706,0.706,0.663,0.643,0.663,0.643
"MC","Con",0.682,0.683,0.639,0.589,0.639,0.589
"PC50","InCon",0.628,0.628,0.587,0.562,0.587,0.562
"MC","Con",0.831,0.831,0.787,0.765,0.787,0.765
"MI","Con",1.104,1.104,1.055,1.032,1.055,1.032
"PC50","InCon",0.954,0.954,0.898,0.861,0.898,0.861
"MI","InCon",0.884,0.884,0.836,0.815,0.836,0.815
"MC","Con",0.724,0.724,0.682,0.662,0.682,0.662
"PC50","Con",0.766,0.766,0.712,0.679,0.712,0.679
"PC50","Con",0.751,0.751,0.702,0.559,0.702,0.559
"MC","Con",0.686,0.686,0.641,0.597,0.641,0.597
"MC","Con",0.705,0.705,0.651,0.617,0.651,0.617
"MI","InCon",0.808,0.808,0.766,0.744,0.766,0.744
"MI","InCon",0.943,0.943,0.904,0.884,0.904,0.884
"PC50","Con",0.673,0.673,0.638,0.613,0.638,0.613
"MI","Con",0.636,0.636,0.595,0.575,0.595,0.575
"MI","Con",0.555,0.555,0.485,0.457,0.485,0.457
"PC50","Con",0.62,0.62,0.577,0.558,0.577,0.558
"PC50","InCon",0.572,0.572,0.508,0.484,0.508,0.484
"MI","InCon",1.325,1.325,1.121,1.081,1.121,1.081
"PC50","InCon",0.8,0.8,0.755,0.736,0.755,0.736
"MC","Con",0.61,0.61,0.573,0.553,0.573,0.553
"MC","Con",0.51,0.51,0.459,0.432,0.459,0.432
"MC","Con",0.642,0.642,0.594,0.547,0.594,0.547
