"Procedure","RunNumberFilterValue","proactiveBlockList","Running","proactiveBlockList.Cycle","proactiveBlockList.Sample","Fixation.OnsetDelay","Fixation.OnsetTime","Fixation.DurationError","Fixation.Duration","Fixation.StartTime","Fixation.OffsetTime","Fixation.FinishTime","Fixation.OffsetDelay","getready.OnsetDelay","getready.OnsetTime","getready.DurationError","getready.Duration","getready.StartTime","getready.OffsetTime","getready.CustomOffsetTime","getready.OffsetDelay","ID","ITI","ms","TRs","Stim","TrialType","LWPC","Correct","Color","PRO1SamplingList","MiInConPro1","CustomCaptureFilename","ShortenedISI","PreISIfix.OnsetDelay","PreISIfix.OnsetTime","PreISIfix.DurationError","PreISIfix.Duration","PreISIfix.StartTime","PreISIfix.OffsetTime","PreISIfix.FinishTime","PreISIfix.OffsetDelay","Flicker.OnsetDelay","Flicker.OnsetTime","Flicker.DurationError","Flicker.Duration","Flicker.StartTime","Flicker.OffsetTime","Flicker.FinishTime","Flicker.OffsetDelay","AudioRecordSoundIn1.Filename","AudioRecord.OnsetDelay","AudioRecord.OnsetTime","AudioRecord.DurationError","AudioRecord.Duration","AudioRecord.StartTime","AudioRecord.OffsetTime","AudioRecord.FinishTime","AudioRecord.OffsetDelay","Stimuli.OnsetDelay","Stimuli.OnsetTime","Stimuli.DurationError","Stimuli.Duration","Stimuli.StartTime","Stimuli.OffsetTime","Stimuli.FinishTime","Stimuli.OffsetDelay","ISIfix.OnsetDelay","ISIfix.OnsetTime","ISIfix.DurationError","ISIfix.Duration","ISIfix.StartTime","ISIfix.OffsetTime","ISIfix.FinishTime","ISIfix.OffsetDelay","PC50ConPro1","MiConPro1","PC50InConPro1","FixationFinal.OnsetDelay","FixationFinal.OnsetTime","FixationFinal.DurationError","FixationFinal.Duration","FixationFinal.StartTime","FixationFinal.OffsetTime","FixationFinal.FinishTime","FixationFinal.OffsetDelay","InstHalfway.OnsetDelay","InstHalfway.OnsetTime","InstHalfway.StartTime","scanstart.RTTime"
"StroopTrialPROC","proactive1","6","proactiveBlockList","2","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","WHITE","Con","MI","white","white","1",NA,"132017_proactive_StroopPro_run1_AudioRecord-38.wav","2100","17","288438","2","300","288428","288440","288441","19","0",288721,"2","300","288441","288723","288723","2","132017_proactive_StroopPro_run1_AudioRecord-38.wav","0","289021","3","100","288724","289024","289025","3","0","289121","3","2000","289025","289124","289124","3","0","291121","0","2100","289124","293221","293221","0",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","6","proactiveBlockList","2","41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","BLUE","InCon","MI","purple","purple","2","11","132017_proactive_StroopPro_run1_AudioRecord-39.wav","900","16","293237","3","300","293227","293240","293240","19","0",293521,"1","300","293240","293522","293523","1","132017_proactive_StroopPro_run1_AudioRecord-39.wav","0","293821","2","100","293523","293823","293824","2","0","293921","2","2000","293824","293923","293923","2","16","295937","-16","900","293924","296821","296821","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","6","proactiveBlockList","2","42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","PURPLE","Con","MI","purple","purple","1",NA,"132017_proactive_StroopPro_run1_AudioRecord-40.wav","3300","16","296837","2","300","296830","296839","296840","18","16",297137,"1","300","296840","297138","297139","17","132017_proactive_StroopPro_run1_AudioRecord-40.wav","16","297437","3","100","297139","297440","297440","19","16","297537","2","2000","297440","297539","297539","18","15","299536","-15","3300","297539","302821","302821","0",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","6","proactiveBlockList","2","43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","BLUE","Con","MI","blue","blue","1",NA,"132017_proactive_StroopPro_run1_AudioRecord-41.wav","900","32","302853","2","300","302842","302855","302855","34","15",303136,"2","300","302856","303138","303138","17","132017_proactive_StroopPro_run1_AudioRecord-41.wav","15","303436","3","100","303138","303439","303439","18","15","303536","2","2000","303439","303538","303538","17","14","305535","-14","900","303539","306421","306421","0",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","6","proactiveBlockList","2","44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","BLUE","InCon","MI","white","white","2","8","132017_proactive_StroopPro_run1_AudioRecord-42.wav","2100","31","306452","2","300","306434","306454","306454","33","14",306735,"2","300","306455","306737","306737","16","132017_proactive_StroopPro_run1_AudioRecord-42.wav","14","307035","3","100","306737","307038","307038","17","14","307135","3","2000","307039","307138","307138","17","14","309135","-14","2100","307138","311221","311221","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","6","proactiveBlockList","2","45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","PURPLE","Con","MI","purple","purple","1",NA,"132017_proactive_StroopPro_run1_AudioRecord-43.wav","3300","14","311235","2","300","311227","311237","311237","16","14",311535,"1","300","311238","311536","311536","15","132017_proactive_StroopPro_run1_AudioRecord-43.wav","13","311834","3","100","311537","311837","311838","16","13","311934","3","2000","311838","311937","311937","16","13","313934","-13","3300","311937","317221","317221","0",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","6","proactiveBlockList","2","46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","RED","InCon","MI","white","white","2","7","132017_proactive_StroopPro_run1_AudioRecord-44.wav","2100","29","317250","2","300","317227","317252","317253","31","13",317534,"1","300","317253","317535","317535","14","132017_proactive_StroopPro_run1_AudioRecord-44.wav","13","317834","2","100","317536","317836","317837","15","13","317934","2","2000","317837","317936","317936","15","12","319933","-12","2100","317936","322021","322021","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","6","proactiveBlockList","2","47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","RED","InCon","MI","purple","purple","2","10","132017_proactive_StroopPro_run1_AudioRecord-45.wav","2100","29","322050","2","300","322027","322052","322052","31","12",322333,"2","300","322052","322335","322335","14","132017_proactive_StroopPro_run1_AudioRecord-45.wav","12","322633","3","100","322335","322636","322636","15","12","322733","2","2000","322636","322735","322735","14","11","324732","-11","2100","322735","326821","326821","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","6","proactiveBlockList","2","48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","GREEN","Con","PC50","green","green","3",NA,"132017_proactive_StroopPro_run1_AudioRecord-46.wav","900","28","326849","2","300","326827","326851","326851","30","11",327132,"2","300","326851","327134","327134","13","132017_proactive_StroopPro_run1_AudioRecord-46.wav","11","327432","3","100","327134","327435","327435","14","11","327532","2","2000","327435","327534","327535","13","11","329532","-11","900","327535","330421","330421","0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","6","proactiveBlockList","2","49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","RED","InCon","MI","purple","purple","2","10","132017_proactive_StroopPro_run1_AudioRecord-47.wav","900","44","330465","2","300","330450","330467","330468","46","11",330732,"1","300","330468","330733","330733","12","132017_proactive_StroopPro_run1_AudioRecord-47.wav","10","331031","3","100","330734","331034","331035","13","10","331131","3","2000","331035","331134","331134","13","10","333131","-10","900","331134","334021","334021","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","6","proactiveBlockList","2","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","PINK","InCon","PC50","black","black","4",NA,"132017_proactive_StroopPro_run1_AudioRecord-48.wav","3300","27","334048","2","300","334030","334050","334050","29","10",334331,"2","300","334050","334333","334333","12","132017_proactive_StroopPro_run1_AudioRecord-48.wav","10","334631","3","100","334333","334634","334634","13","10","334731","2","2000","334634","334733","334734","12","10","336731","-10","3300","334734","340021","340021","0",NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","6","proactiveBlockList","2","51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","PURPLE","InCon","MI","blue","blue","2","6","132017_proactive_StroopPro_run1_AudioRecord-49.wav","900","26","340047","2","300","340028","340049","340049","28","9",340330,"2","300","340049","340332","340332","11","132017_proactive_StroopPro_run1_AudioRecord-49.wav","9","340630","3","100","340332","340633","340633","12","9","340730","2","2000","340633","340732","340732","11","9","342730","-9","900","340733","343621","343621","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","6","proactiveBlockList","2","52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","GREEN","InCon","PC50","pink","255,105,180","4",NA,"132017_proactive_StroopPro_run1_AudioRecord-50.wav","2100","25","343646","2","300","343629","343648","343649","27","8",343929,"2","300","343649","343931","343931","10","132017_proactive_StroopPro_run1_AudioRecord-50.wav","8","344229","3","100","343932","344232","344233","11","8","344329","3","2000","344233","344332","344332","11","8","346329","-8","2100","344332","348421","348421","0",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
"StroopTrialPROC","proactive1","6","proactiveBlockList","2","53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","YELLOW","InCon","PC50","black","black","4",NA,"132017_proactive_StroopPro_run1_AudioRecord-51.wav","900","24","348445","2","300","348427","348447","348448","26","8",348729,"1","300","348448","348730","348731","9","132017_proactive_StroopPro_run1_AudioRecord-51.wav","8","349029","2","100","348731","349031","349032","10","8","349129","2","2000","349032","349131","349131","10","7","351128","-7","900","349131","352021","352021","0",NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49609
