"LWPC","TrialType","RTestimate_energy1","RTestimate_energy2","firstRTestimate_energy1","secondRTestimate_energy1","firstRTestimate_energy2","secondRTestimate_energy2"
"PC50","Con",0.812,0.812,0.78,0.771,0.78,0.771
"MI","InCon",1.13,1.13,1.068,1.019,1.068,1.019
"MI","Con",1.172,1.172,1.137,1.106,1.137,1.106
"MI","InCon",0.952,0.952,0.919,0.909,0.919,0.909
"PC50","InCon",0.871,0.871,0.838,0.83,0.838,0.83
"PC50","InCon",1.034,1.034,0.999,0.984,0.999,0.984
"PC50","InCon",1.268,1.268,1.229,1.213,1.229,1.213
"MI","Con",1.041,1.041,0.945,0.929,0.945,0.929
"MI","InCon",0.95,0.95,0.914,0.852,0.914,0.852
"MI","InCon",1.038,1.038,0.953,0.935,0.953,0.935
"PC50","Con",0.993,0.993,0.95,0.922,0.95,0.922
"PC50","InCon",1.023,1.023,0.984,0.938,0.984,0.938
"MI","Con",0.893,0.893,0.849,0.819,0.849,0.819
"MI","InCon",0.886,0.886,0.853,0.844,0.853,0.844
"MI","InCon",1.285,1.285,1.251,1.241,1.251,1.241
"MI","InCon",1.377,1.377,1.346,1.338,1.346,1.338
"MI","InCon",1.032,1.032,0.995,0.949,0.995,0.949
"MI","InCon",1.086,1.086,1.052,1.035,1.052,1.035
"PC50","Con",0.806,0.806,0.772,0.763,0.772,0.763
"MI","InCon",0.888,0.888,0.854,0.844,0.854,0.844
"MI","Con",0.863,0.863,0.811,0.794,0.811,0.794
"MI","InCon",1.299,1.299,1.263,1.243,1.263,1.243
"MI","InCon",0.986,0.986,0.95,0.935,0.95,0.935
"MI","InCon",1.236,1.236,1.199,1.184,1.199,1.184
"PC50","Con",1.111,1.111,1.078,1.02,1.078,1.02
"PC50","Con",0.816,0.816,0.78,0.767,0.78,0.767
"PC50","Con",0.812,0.812,0.778,0.767,0.778,0.767
"MI","InCon",1.11,1.11,1.076,1.064,1.076,1.064
"MI","InCon",0.96,0.96,0.923,0.896,0.923,0.896
"MI","Con",0.796,0.796,0.764,0.755,0.764,0.755
"MI","InCon",0.956,0.956,0.918,0.901,0.918,0.901
"MI","InCon",1.074,1.074,1.036,0.938,1.036,0.938
