"LWPC","TrialType","RTestimate_energy1","RTestimate_energy2","firstRTestimate_energy1","secondRTestimate_energy1","firstRTestimate_energy2","secondRTestimate_energy2"
"PC50","InCon",1.102,1.102,1.061,1.001,1.061,1.001
"MC","Con",0.961,0.961,0.927,0.916,0.927,0.916
"PC50","Con",0.958,0.958,0.922,0.872,0.922,0.872
"MC","Con",1.043,1.043,1.009,0.99,1.009,0.99
"PC50","InCon",1.135,1.135,1.102,1.09,1.102,1.09
"PC50","InCon",1.094,1.094,1.051,1.022,1.051,1.022
"MC","Con",0.954,0.954,0.921,0.906,0.921,0.906
"MC","Con",0.865,0.865,0.832,0.822,0.832,0.822
"PC50","InCon",1.032,1.032,1,0.989,1,0.989
"MC","Con",0.804,0.804,0.77,0.757,0.77,0.757
"MC","InCon",1.336,1.336,1.293,1.265,1.293,1.265
"PC50","Con",1.05,1.05,1.011,0.986,1.011,0.986
"PC50","Con",0.946,0.946,0.912,0.9,0.912,0.9
"MC","Con",0.892,0.892,0.856,0.825,0.856,0.825
"MC","Con",0.867,0.867,0.828,0.782,0.828,0.782
"MC","Con",0.954,0.954,0.92,0.904,0.92,0.904
"PC50","Con",1.17,1.17,1.136,1.12,1.136,1.12
"PC50","Con",0.815,0.815,0.78,0.769,0.78,0.769
"MC","Con",0.793,0.793,0.759,0.746,0.759,0.746
"MC","InCon",1.238,1.238,1.193,1.16,1.193,1.16
"MC","InCon",1.047,1.047,1.006,0.977,1.006,0.977
"MC","Con",1.067,1.067,1.029,0.993,1.029,0.993
"MC","Con",0.95,0.95,0.915,0.901,0.915,0.901
"MC","Con",0.864,0.864,0.824,0.791,0.824,0.791
"PC50","InCon",0.887,0.887,0.85,0.837,0.85,0.837
"MC","InCon",1.025,1.025,0.99,0.971,0.99,0.971
"MC","Con",0.869,0.869,0.832,0.815,0.832,0.815
"MC","Con",1.263,1.263,1.229,1.2,1.229,1.2
"MC","Con",0.873,0.873,0.807,0.783,0.807,0.783
"MC","Con",2.005,2.005,1.966,1.916,1.966,1.916
"MC","InCon",1.855,1.855,1.824,1.808,1.824,1.808
