"Procedure","RunNumberFilterValue","reactiveBlockList","Running","reactiveBlockList.Cycle","reactiveBlockList.Sample","Fixation.OnsetDelay","Fixation.OnsetTime","Fixation.DurationError","Fixation.Duration","Fixation.StartTime","Fixation.OffsetTime","Fixation.FinishTime","Fixation.OffsetDelay","getready.OnsetDelay","getready.OnsetTime","getready.DurationError","getready.Duration","getready.StartTime","getready.OffsetTime","getready.CustomOffsetTime","getready.OffsetDelay","ID","ITI","ms","TRs","Stim","TrialType","LWPC","Correct","Color","MiInConRea1","REA1SamplingList","CustomCaptureFilename","ShortenedISI","PreISIfix.OnsetDelay","PreISIfix.OnsetTime","PreISIfix.DurationError","PreISIfix.Duration","PreISIfix.StartTime","PreISIfix.OffsetTime","PreISIfix.FinishTime","PreISIfix.OffsetDelay","Flicker.OnsetDelay","Flicker.OnsetTime","Flicker.DurationError","Flicker.Duration","Flicker.StartTime","Flicker.OffsetTime","Flicker.FinishTime","Flicker.OffsetDelay","AudioRecordSoundIn1.Filename","AudioRecord.OnsetDelay","AudioRecord.OnsetTime","AudioRecord.DurationError","AudioRecord.Duration","AudioRecord.StartTime","AudioRecord.OffsetTime","AudioRecord.FinishTime","AudioRecord.OffsetDelay","Stimuli.OnsetDelay","Stimuli.OnsetTime","Stimuli.DurationError","Stimuli.Duration","Stimuli.StartTime","Stimuli.OffsetTime","Stimuli.FinishTime","Stimuli.OffsetDelay","ISIfix.OnsetDelay","ISIfix.OnsetTime","ISIfix.DurationError","ISIfix.Duration","ISIfix.StartTime","ISIfix.OffsetTime","ISIfix.FinishTime","ISIfix.OffsetDelay","McConRea1","MiConRea1","PC50InConRea1","PC50ConRea1","FixationFinal.OnsetDelay","FixationFinal.OnsetTime","FixationFinal.DurationError","FixationFinal.Duration","FixationFinal.StartTime","FixationFinal.OffsetTime","FixationFinal.FinishTime","FixationFinal.OffsetDelay","InstHalfway.OnsetDelay","InstHalfway.OnsetTime","InstHalfway.StartTime","scanstart.RTTime"
"StroopTrialPROC","reactive1","8","reactiveBlockList","2","114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","PURPLE","Con","MI","purple","purple",NA,"2","132017_reactive_StroopRea_run1_AudioRecord-111.wav","2100","21","675197","3","300","675183","675200","675200","24","5",675481,"1","300","675200","675482","675483","6","132017_reactive_StroopRea_run1_AudioRecord-111.wav","5","675781","3","100","675483","675784","675784","8","5","675881","2","2000","675785","675883","675883","7","4","677880","-4","2100","675884","679976","679976","0",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55964
"StroopTrialPROC","reactive1","8","reactiveBlockList","2","115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","RED","InCon","MI","purple","purple","4","1","132017_reactive_StroopRea_run1_AudioRecord-112.wav","900","21","679997","2","300","679982","679999","679999","23","4",680280,"2","300","679999","680282","680282","6","132017_reactive_StroopRea_run1_AudioRecord-112.wav","4","680580","3","100","680282","680583","680583","7","4","680680","2","2000","680584","680682","680682","6","4","682680","-4","900","680683","683576","683576","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55964
"StroopTrialPROC","reactive1","8","reactiveBlockList","2","116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","BLUE","Con","MC","blue","blue",NA,"5","132017_reactive_StroopRea_run1_AudioRecord-113.wav","900","37","683613","2","300","683589","683615","683616","39","3",683879,"2","300","683616","683881","683881","5","132017_reactive_StroopRea_run1_AudioRecord-113.wav","3","684179","3","100","683882","684182","684183","6","3","684279","2","2000","684183","684281","684282","5","3","686279","-3","900","684282","687176","687176","0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55964
"StroopTrialPROC","reactive1","8","reactiveBlockList","2","117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","PURPLE","InCon","MI","white","white","3","1","132017_reactive_StroopRea_run1_AudioRecord-114.wav","2100","20","687196","2","300","687188","687198","687198","22","3",687479,"2","300","687199","687481","687481","5","132017_reactive_StroopRea_run1_AudioRecord-114.wav","3","687779","3","100","687481","687782","687782","6","3","687879","2","2000","687782","687881","687881","5","2","689878","-2","2100","687882","691976","691976","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55964
"StroopTrialPROC","reactive1","8","reactiveBlockList","2","118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","RED","Con","MC","red","red",NA,"5","132017_reactive_StroopRea_run1_AudioRecord-115.wav","2100","36","692012","2","300","692002","692014","692014","38","2",692278,"2","300","692014","692280","692280","4","132017_reactive_StroopRea_run1_AudioRecord-115.wav","2","692578","3","100","692280","692581","692581","5","2","692678","2","2000","692582","692680","692681","4","2","694678","-2","2100","692681","696776","696776","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55964
"StroopTrialPROC","reactive1","8","reactiveBlockList","2","119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","PINK","InCon","PC50","yellow","yellow",NA,"4","132017_reactive_StroopRea_run1_AudioRecord-116.wav","3300","18","696794","2","300","696782","696796","696797","20","1",697077,"2","300","696797","697079","697079","3","132017_reactive_StroopRea_run1_AudioRecord-116.wav","1","697377","3","100","697080","697380","697381","4","1","697477","3","2000","697381","697480","697480","4","1","699477","-1","3300","697480","702776","702776","0",NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55964
"StroopTrialPROC","reactive1","8","reactiveBlockList","2","120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","BLUE","Con","MC","blue","blue",NA,"5","132017_reactive_StroopRea_run1_AudioRecord-117.wav","3300","17","702793","3","300","702782","702796","702796","20","0",703076,"2","300","702796","703078","703078","2","132017_reactive_StroopRea_run1_AudioRecord-117.wav","0","703376","3","100","703079","703379","703380","3","0","703476","3","2000","703380","703479","703479","3","0","705476","0","3300","703479","708776","708776","0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55964
"StroopTrialPROC","reactive1","8","reactiveBlockList","2","121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","RED","Con","MC","red","red",NA,"5","132017_reactive_StroopRea_run1_AudioRecord-118.wav","900","16","708792","3","300","708782","708795","708795","19","16",709092,"2","300","708795","709094","709094","18","132017_reactive_StroopRea_run1_AudioRecord-118.wav","16","709392","3","100","709094","709395","709395","19","16","709492","2","2000","709396","709494","709495","18","16","711492","-16","900","709495","712376","712376","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55964
"StroopTrialPROC","reactive1","8","reactiveBlockList","2","122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","BLUE","Con","MC","blue","blue",NA,"5","132017_reactive_StroopRea_run1_AudioRecord-119.wav","3300","49","712425","2","300","712406","712427","712427","51","16",712692,"1","300","712428","712693","712693","17","132017_reactive_StroopRea_run1_AudioRecord-119.wav","16","712992","3","100","712694","712995","712995","19","16","713092","2","2000","712995","713094","713094","18","15","715091","-15","3300","713094","718376","718376","0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55964
"StroopTrialPROC","reactive1","8","reactiveBlockList","2","123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","RED","Con","MC","red","red",NA,"5","132017_reactive_StroopRea_run1_AudioRecord-120.wav","900","15","718391","2","300","718382","718393","718393","17","15",718691,"1","300","718394","718692","718692","16","132017_reactive_StroopRea_run1_AudioRecord-120.wav","15","718991","3","100","718693","718994","718994","18","15","719091","2","2000","718994","719093","719093","17","14","721090","-14","900","719093","721976","721976","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55964
"FixationOnlyPROC","reactive1","9","reactiveBlockList","2","124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"97","722073","3","30000","722056","722076","722076","100",NA,NA,NA,55964
"PausePROC","reactive1","10","reactiveBlockList","2","125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","751985","722078",55964
