"Procedure","RunNumberFilterValue","proactiveBlockList","Running","proactiveBlockList.Cycle","proactiveBlockList.Sample","Fixation.OnsetDelay","Fixation.OnsetTime","Fixation.DurationError","Fixation.Duration","Fixation.StartTime","Fixation.OffsetTime","Fixation.FinishTime","Fixation.OffsetDelay","getready.OnsetDelay","getready.OnsetTime","getready.DurationError","getready.Duration","getready.StartTime","getready.OffsetTime","getready.CustomOffsetTime","getready.OffsetDelay","Stimuli","Number","Letter","Congruency","TaskCue","NumberResp","LetterResp","TestGroup","Incentive","n_Switch","n_Min1_Switch","LocVal","Location","CueColor","Color","ColorOrig","TrialType","ITI","ms","TRs","TestOrder","PRO2B1SamplingList","ShortenedISI","Correct","PreISIfix.OnsetDelay","PreISIfix.OnsetTime","PreISIfix.DurationError","PreISIfix.Duration","PreISIfix.StartTime","PreISIfix.OffsetTime","PreISIfix.FinishTime","PreISIfix.OffsetDelay","Flicker.OnsetDelay","Flicker.OnsetTime","Flicker.DurationError","Flicker.Duration","Flicker.StartTime","Flicker.OffsetTime","Flicker.FinishTime","Flicker.OffsetDelay","CueSlide.OnsetDelay","CueSlide.OnsetTime","CueSlide.DurationError","CueSlide.Duration","CueSlide.StartTime","CueSlide.OffsetTime","CueSlide.FinishTime","CueSlide.OffsetDelay","Delay.OnsetDelay","Delay.OnsetTime","Delay.DurationError","Delay.Duration","Delay.StartTime","Delay.OffsetTime","Delay.FinishTime","Delay.OffsetDelay","TargetSlide.OnsetDelay","TargetSlide.OnsetTime","TargetSlide.DurationError","TargetSlide.Duration","TargetSlide.StartTime","TargetSlide.OffsetTime","TargetSlide.FinishTime","TargetSlide.OffsetDelay","TargetSlide.RTTime","TargetSlide.ACC","TargetSlide.RT","TargetSlide.RESP","TargetSlide.CRESP","TrialACC","FeedbackSlide.OnsetDelay","FeedbackSlide.OnsetTime","FeedbackSlide.DurationError","FeedbackSlide.Duration","FeedbackSlide.StartTime","FeedbackSlide.OffsetTime","FeedbackSlide.FinishTime","FeedbackSlide.OffsetDelay","ISIfix.OnsetDelay","ISIfix.OnsetTime","ISIfix.DurationError","ISIfix.Duration","ISIfix.StartTime","ISIfix.OffsetTime","ISIfix.FinishTime","ISIfix.OffsetDelay","PRO2B2SamplingList","ToBeIncentivized","PRO2B3SamplingList","FixationFinal.OnsetDelay","FixationFinal.OnsetTime","FixationFinal.DurationError","FixationFinal.Duration","FixationFinal.StartTime","FixationFinal.OffsetTime","FixationFinal.FinishTime","FixationFinal.OffsetDelay","scanstart.RTTime"
"CuedTSTrialPROC","proactive2","9","proactiveBlockList","2","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D4","Even","Consonant","Incongruent","Attend Number","1","2","?","2","1","0","?","?","Green","Black","Green","Incentive","1","2000","X","MixTaskINC","1","1200","1","16","174225","2","800","174211","174227","174227","18","16",175025,"1","300","174227","175026","175026","17","16","175325","2","500","175027","175327","175327","18","15","175824","3","4000","175327","175827","175827","18","15","179824","-15","3200","175828","183009","183009","0",181440,1,1616,"1","1","1","14","183023","2","800","183009","183025","183026","16","14","183823","-14","1200","183026","185009","185009","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","9","proactiveBlockList","2","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2A","Even","Vowel","Congruent","Attend Number","1","1","?","?","0","1","?","?","Red","Black","Black","NonIncentive","2","3200","X","MixTaskINC","12","2400","1","14","185023","2","800","185011","185025","185025","16","14",185823,"2","300","185026","185825","185825","16","14","186123","2","500","185825","186125","186125","16","14","186623","2","4000","186125","186625","186625","16","13","190622","-13","3200","186626","193809","193809","0",191545,1,923,"1","1","1","13","193822","2","800","193809","193824","193824","15","12","194621","-12","2400","193824","197009","197009","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","9","proactiveBlockList","2","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H5","Odd","Consonant","Congruent","Attend Letter","2","2","?","?","1","0","?","?","Red","Black","Black","NonIncentive","2","3200","X","MixTaskINC","8","2400","2","12","197021","2","800","197010","197023","197024","14","12",197821,"2","300","197024","197823","197823","14","12","198121","2","500","197823","198123","198123","14","12","198621","2","4000","198124","198623","198623","14","11","202620","-11","3200","198624","205809","205809","0",203559,1,939,"2","2","1","11","205820","2","800","205809","205822","205822","13","11","206620","-11","2400","205822","209009","209009","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","9","proactiveBlockList","2","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E3","Odd","Vowel","Incongruent","Attend Number","2","1","?","1","1","1","?","?","Green","Black","Green","Incentive","3","4400","X","MixTaskINC","2","3600","2","10","209019","2","800","209011","209021","209022","12","10",209819,"2","300","209022","209821","209821","12","10","210119","2","500","209821","210121","210121","12","10","210619","2","4000","210122","210621","210621","12","9","214618","-9","3200","210622","217809","217809","0",215843,1,1225,"2","2","1","9","217818","2","800","217809","217820","217820","11","9","218618","-9","3600","217820","222209","222209","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","9","proactiveBlockList","2","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E3","Odd","Vowel","Incongruent","Attend Letter","2","1","?","1","1","1","?","?","Green","Black","Green","Incentive","1","2000","X","MixTaskINC","4","1200","1","8","222217","2","800","222210","222219","222220","10","8",223017,"2","300","222220","223019","223019","10","8","223317","2","500","223019","223319","223319","10","8","223817","2","4000","223320","223819","223819","10","7","227816","-7","3200","223820","231009","231009","0",228861,1,1045,"1","1","1","7","231016","2","800","231009","231018","231018","9","7","231816","-7","1200","231018","233009","233009","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","9","proactiveBlockList","2","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1B","Odd","Consonant","Congruent","Attend Letter","2","2","?","?","0","1","?","?","Red","Black","Black","NonIncentive","2","3200","X","MixTaskINC","18","2400","2","23","233032","2","800","233011","233034","233035","25","6",233815,"2","300","233035","233817","233817","8","6","234115","2","500","233817","234117","234118","8","6","234615","2","4000","234118","234617","234618","8","5","238614","-5","3200","234618","241809","241809","0",239647,0,1033,"1","2","0","22","241831","2","800","241809","241833","241833","24","5","242614","-5","2400","241833","245009","245009","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","9","proactiveBlockList","2","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1B","Odd","Consonant","Congruent","Attend Number","2","2","?","?","1","0","?","?","Red","Black","Black","NonIncentive","3","4400","X","MixTaskINC","17","3600","2","21","245030","2","800","245010","245032","245033","23","4",245813,"2","300","245033","245815","245815","6","4","246113","2","500","245815","246115","246116","6","4","246613","2","4000","246116","246615","246616","6","4","250613","-4","3200","246616","253809","253809","0",251901,1,1288,"2","2","1","20","253829","2","800","253809","253831","253831","22","3","254612","-3","3600","253831","258209","258209","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","9","proactiveBlockList","2","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A2","Even","Vowel","Congruent","Attend Number","1","1","?","?","0","1","?","?","Red","Black","Black","NonIncentive","3","4400","X","MixTaskINC","13","3600","1","19","258228","2","800","258211","258230","258231","21","2",259011,"2","300","258231","259013","259013","4","2","259311","2","500","259013","259313","259314","4","2","259811","2","4000","259314","259813","259814","4","2","263811","-2","3200","259814","267009","267009","0",265044,1,1233,"1","1","1","18","267027","2","800","267009","267029","267029","20","1","267810","-1","3600","267029","271409","271409","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"CuedTSTrialPROC","proactive2","9","proactiveBlockList","2","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6I","Even","Vowel","Congruent","Attend Number","1","1","?","?","0","0","?","?","Red","Black","Black","NonIncentive","1","2000","X","MixTaskINC","9","1200","1","17","271426","2","800","271411","271428","271428","19","0",272209,"2","300","271429","272211","272211","2","0","272509","2","500","272211","272511","272512","2","0","273009","2","4000","272512","273011","273012","2","16","277025","-16","3200","273012","280209","280209","0",278046,1,1021,"1","1","1","16","280225","2","800","280209","280227","280227","18","15","281024","-15","1200","280227","282209","282209","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
"FixationGetReadyPROC","proactive2","10","proactiveBlockList","2","20","15","282224","2","28400","282210","282226","282227","17","11","310620","2","1600","282227","310622","0","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195
