"Procedure","RunNumberFilterValue","proactiveBlockList","Running","proactiveBlockList.Cycle","proactiveBlockList.Sample","Fixation.OnsetDelay","Fixation.OnsetTime","Fixation.DurationError","Fixation.Duration","Fixation.StartTime","Fixation.OffsetTime","Fixation.FinishTime","Fixation.OffsetDelay","getready.OnsetDelay","getready.OnsetTime","getready.DurationError","getready.Duration","getready.StartTime","getready.OffsetTime","getready.CustomOffsetTime","getready.OffsetDelay","ID","ITI","ms","TRs","Stim","TrialType","LWPC","Correct","Color","MiInConPro2","PRO2SamplingList","CustomCaptureFilename","ShortenedISI","PreISIfix.OnsetDelay","PreISIfix.OnsetTime","PreISIfix.DurationError","PreISIfix.Duration","PreISIfix.StartTime","PreISIfix.OffsetTime","PreISIfix.FinishTime","PreISIfix.OffsetDelay","Flicker.OnsetDelay","Flicker.OnsetTime","Flicker.DurationError","Flicker.Duration","Flicker.StartTime","Flicker.OffsetTime","Flicker.FinishTime","Flicker.OffsetDelay","AudioRecordSoundIn1.Filename","AudioRecord.OnsetDelay","AudioRecord.OnsetTime","AudioRecord.DurationError","AudioRecord.Duration","AudioRecord.StartTime","AudioRecord.OffsetTime","AudioRecord.FinishTime","AudioRecord.OffsetDelay","Stimuli.OnsetDelay","Stimuli.OnsetTime","Stimuli.DurationError","Stimuli.Duration","Stimuli.StartTime","Stimuli.OffsetTime","Stimuli.FinishTime","Stimuli.OffsetDelay","ISIfix.OnsetDelay","ISIfix.OnsetTime","ISIfix.DurationError","ISIfix.Duration","ISIfix.StartTime","ISIfix.OffsetTime","ISIfix.FinishTime","ISIfix.OffsetDelay","PC50ConPro2","MiConPro2","PC50InConPro2","FixationFinal.OnsetDelay","FixationFinal.OnsetTime","FixationFinal.DurationError","FixationFinal.Duration","FixationFinal.StartTime","FixationFinal.OffsetTime","FixationFinal.FinishTime","FixationFinal.OffsetDelay","InstHalfway.OnsetDelay","InstHalfway.OnsetTime","InstHalfway.StartTime","scanstart.RTTime"
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","RED","Con","MI","red","red",NA,"1","132017_proactive_StroopPro_run2_AudioRecord-78.wav","3300","19","487675","2","300","487663","487677","487678","21","2",487958,"2","300","487678","487960","487960","4","132017_proactive_StroopPro_run2_AudioRecord-78.wav","2","488258","3","100","487960","488261","488261","5","2","488358","2","2000","488261","488360","488360","4","2","490358","-2","3300","488361","493656","493656","0",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","BLACK","InCon","PC50","pink","255,105,180",NA,"4","132017_proactive_StroopPro_run2_AudioRecord-79.wav","900","18","493674","2","300","493663","493676","493677","20","1",493957,"2","300","493677","493959","493959","3","132017_proactive_StroopPro_run2_AudioRecord-79.wav","1","494257","3","100","493959","494260","494260","4","1","494357","2","2000","494260","494359","494359","3","1","496357","-1","900","494360","497256","497256","0",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","PURPLE","InCon","MI","white","white","9","2","132017_proactive_StroopPro_run2_AudioRecord-80.wav","3300","17","497273","3","300","497266","497276","497276","20","0",497556,"2","300","497276","497558","497558","2","132017_proactive_StroopPro_run2_AudioRecord-80.wav","0","497856","3","100","497559","497859","497860","3","0","497956","3","2000","497860","497959","497959","3","0","499956","0","3300","497959","503256","503256","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","YELLOW","Con","PC50","yellow","yellow",NA,"3","132017_proactive_StroopPro_run2_AudioRecord-81.wav","2100","16","503272","3","300","503262","503275","503275","19","0",503556,"1","300","503275","503557","503557","1","132017_proactive_StroopPro_run2_AudioRecord-81.wav","16","503872","3","100","503558","503875","503875","19","16","503972","2","2000","503876","503974","503975","18","16","505972","-16","2100","503975","508056","508056","0","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","PINK","InCon","PC50","green","green",NA,"4","132017_proactive_StroopPro_run2_AudioRecord-82.wav","2100","16","508072","2","300","508062","508074","508074","18","15",508371,"2","300","508074","508373","508373","17","132017_proactive_StroopPro_run2_AudioRecord-82.wav","15","508671","3","100","508374","508674","508675","18","15","508771","3","2000","508675","508774","508774","18","15","510771","-15","2100","508774","512856","512856","0",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","PINK","Con","PC50","pink","255,105,180",NA,"3","132017_proactive_StroopPro_run2_AudioRecord-83.wav","2100","15","512871","2","300","512862","512873","512874","17","15",513171,"1","300","512874","513172","513173","16","132017_proactive_StroopPro_run2_AudioRecord-83.wav","15","513471","2","100","513173","513473","513474","17","15","513571","2","2000","513474","513573","513573","17","14","515570","-14","2100","513573","517656","517656","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","BLUE","InCon","MI","red","red","1","2","132017_proactive_StroopPro_run2_AudioRecord-84.wav","2100","14","517670","2","300","517662","517672","517673","16","14",517970,"2","300","517673","517972","517972","16","132017_proactive_StroopPro_run2_AudioRecord-84.wav","14","518270","3","100","517972","518273","518273","17","14","518370","2","2000","518273","518372","518373","16","14","520370","-14","2100","518373","522456","522456","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","WHITE","InCon","MI","red","red","2","2","132017_proactive_StroopPro_run2_AudioRecord-85.wav","900","14","522470","2","300","522462","522472","522472","16","13",522769,"2","300","522472","522771","522771","15","132017_proactive_StroopPro_run2_AudioRecord-85.wav","13","523069","3","100","522772","523072","523072","16","13","523169","2","2000","523073","523171","523172","15","13","525169","-13","900","523172","526056","526056","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","WHITE","Con","MI","white","white",NA,"1","132017_proactive_StroopPro_run2_AudioRecord-86.wav","3300","63","526119","2","300","526099","526121","526122","65","13",526369,"1","300","526122","526370","526370","14","132017_proactive_StroopPro_run2_AudioRecord-86.wav","13","526669","2","100","526371","526671","526672","15","13","526769","2","2000","526672","526771","526771","15","12","528768","-12","3300","526772","532056","532056","0",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
"StroopTrialPROC","proactive2","16","proactiveBlockList","2","90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","BLUE","InCon","MI","red","red","1","2","132017_proactive_StroopPro_run2_AudioRecord-87.wav","3300","28","532084","2","300","532062","532086","532087","30","12",532368,"1","300","532087","532369","532370","13","132017_proactive_StroopPro_run2_AudioRecord-87.wav","12","532668","2","100","532370","532670","532671","14","12","532768","2","2000","532671","532770","532770","14","11","534767","-11","3300","532771","538056","538056","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29252
