"Procedure","RunNumberFilterValue","baselineBlockList","Running","baselineBlockList.Cycle","baselineBlockList.Sample","Fixation.OnsetDelay","Fixation.OnsetTime","Fixation.DurationError","Fixation.Duration","Fixation.StartTime","Fixation.OffsetTime","Fixation.FinishTime","Fixation.OffsetDelay","getready.OnsetDelay","getready.OnsetTime","getready.DurationError","getready.Duration","getready.StartTime","getready.OffsetTime","getready.CustomOffsetTime","getready.OffsetDelay","ID","ITI","ms","TRs","Stim","TrialType","LWPC","Correct","Color","BAS2SamplingList","McConBas2","CustomCaptureFilename","ShortenedISI","PreISIfix.OnsetDelay","PreISIfix.OnsetTime","PreISIfix.DurationError","PreISIfix.Duration","PreISIfix.StartTime","PreISIfix.OffsetTime","PreISIfix.FinishTime","PreISIfix.OffsetDelay","Flicker.OnsetDelay","Flicker.OnsetTime","Flicker.DurationError","Flicker.Duration","Flicker.StartTime","Flicker.OffsetTime","Flicker.FinishTime","Flicker.OffsetDelay","AudioRecordSoundIn1.Filename","AudioRecord.OnsetDelay","AudioRecord.OnsetTime","AudioRecord.DurationError","AudioRecord.Duration","AudioRecord.StartTime","AudioRecord.OffsetTime","AudioRecord.FinishTime","AudioRecord.OffsetDelay","Stimuli.OnsetDelay","Stimuli.OnsetTime","Stimuli.DurationError","Stimuli.Duration","Stimuli.StartTime","Stimuli.OffsetTime","Stimuli.FinishTime","Stimuli.OffsetDelay","ISIfix.OnsetDelay","ISIfix.OnsetTime","ISIfix.DurationError","ISIfix.Duration","ISIfix.StartTime","ISIfix.OffsetTime","ISIfix.FinishTime","ISIfix.OffsetDelay","McInConBas2","PC50InConBas2","PC50ConBas2","FixationFinal.OnsetDelay","FixationFinal.OnsetTime","FixationFinal.DurationError","FixationFinal.Duration","FixationFinal.StartTime","FixationFinal.OffsetTime","FixationFinal.FinishTime","FixationFinal.OffsetDelay","InstHalfway.OnsetDelay","InstHalfway.OnsetTime","InstHalfway.StartTime","scanstart.RTTime"
"FixationGetReadyPROC","baseline2","13","baselineBlockList","2","38","21","239990","2","28400","239982","239992","239992","23","16","268385","2","1600","239992","268387","0","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","14","baselineBlockList","2","39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","PURPLE","Con","MC","purple","purple","1","4","132017_baseline_StroopBas_run2_AudioRecord-37.wav","2100","16","269985","2","300","268389","269987","269987","18","16",270285,"1","300","269987","270286","270286","17","132017_baseline_StroopBas_run2_AudioRecord-37.wav","15","270584","3","100","270287","270587","270588","18","15","270684","3","2000","270588","270687","270687","18","15","272684","-15","2100","270687","274769","274769","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","14","baselineBlockList","2","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","RED","InCon","MC","blue","blue","2",NA,"132017_baseline_StroopBas_run2_AudioRecord-38.wav","3300","15","274784","2","300","274776","274786","274787","17","15",275084,"1","300","274787","275085","275086","16","132017_baseline_StroopBas_run2_AudioRecord-38.wav","15","275384","3","100","275086","275387","275387","18","15","275484","2","2000","275387","275486","275486","17","14","277483","-14","3300","275487","280769","280769","0","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","14","baselineBlockList","2","41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","PINK","Con","PC50","pink","255,105,180","3",NA,"132017_baseline_StroopBas_run2_AudioRecord-39.wav","900","14","280783","2","300","280775","280785","280786","16","14",281083,"1","300","280786","281084","281085","15","132017_baseline_StroopBas_run2_AudioRecord-39.wav","14","281383","3","100","281085","281386","281386","17","14","281483","2","2000","281386","281485","281485","16","13","283482","-13","900","281486","284369","284369","0",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","14","baselineBlockList","2","42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2400","4","RED","Con","MC","red","red","1","1","132017_baseline_StroopBas_run2_AudioRecord-40.wav","2100","47","284416","2","300","284401","284418","284418","49","13",284682,"2","300","284419","284684","284684","15","132017_baseline_StroopBas_run2_AudioRecord-40.wav","13","284982","3","100","284684","284985","284986","16","13","285082","2","2000","284986","285084","285085","15","13","287082","-13","2100","285085","289169","289169","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","14","baselineBlockList","2","43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","BLUE","Con","MC","blue","blue","1","2","132017_baseline_StroopBas_run2_AudioRecord-41.wav","900","29","289198","2","300","289175","289200","289201","31","12",289481,"2","300","289201","289483","289483","14","132017_baseline_StroopBas_run2_AudioRecord-41.wav","12","289781","3","100","289484","289784","289785","15","12","289881","3","2000","289785","289884","289884","15","12","291881","-12","900","289884","292769","292769","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","14","baselineBlockList","2","44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","RED","Con","MC","red","red","1","1","132017_baseline_StroopBas_run2_AudioRecord-42.wav","900","29","292798","2","300","292780","292800","292800","31","12",293081,"2","300","292800","293083","293083","14","132017_baseline_StroopBas_run2_AudioRecord-42.wav","12","293381","3","100","293083","293384","293384","15","12","293481","2","2000","293385","293483","293484","14","12","295481","-12","900","293484","296369","296369","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","14","baselineBlockList","2","45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1200","3","PINK","InCon","PC50","yellow","yellow","4",NA,"132017_baseline_StroopBas_run2_AudioRecord-43.wav","900","28","296397","2","300","296379","296399","296400","30","11",296680,"2","300","296400","296682","296682","13","132017_baseline_StroopBas_run2_AudioRecord-43.wav","11","296980","3","100","296683","296983","296984","14","11","297080","2","2000","296984","297082","297083","13","11","299080","-11","900","297083","299969","299969","0",NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","14","baselineBlockList","2","46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","RED","InCon","MC","purple","purple","2",NA,"132017_baseline_StroopBas_run2_AudioRecord-44.wav","3300","27","299996","3","300","299978","299999","299999","30","11",300280,"1","300","300000","300281","300282","12","132017_baseline_StroopBas_run2_AudioRecord-44.wav","11","300580","3","100","300282","300583","300583","14","11","300680","2","2000","300583","300682","300682","13","10","302679","-10","3300","300683","305969","305969","0","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
"StroopTrialPROC","baseline2","14","baselineBlockList","2","47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3600","5","YELLOW","Con","PC50","yellow","yellow","3",NA,"132017_baseline_StroopBas_run2_AudioRecord-45.wav","3300","27","305996","2","300","305975","305998","305998","29","10",306279,"2","300","305998","306281","306281","12","132017_baseline_StroopBas_run2_AudioRecord-45.wav","10","306579","3","100","306281","306582","306582","13","10","306679","2","2000","306582","306681","306681","12","9","308678","-9","3300","306682","311969","311969","0",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37163
